full_nomenclature,Capped_SMILES,Code
(S)-N-(1-cyclohexylethyl)glycine,CC(=O)N([C@@H](C)C1CCCCC1)CC(=O)N(C),ECB
(R)-N-(1-cyclohexylethyl)glycine,CC(=O)N([C@H](C)C1CCCCC1)CC(=O)N(C),ABF
(S)-N-(2-butyl)glycine,CC(=O)N([C@@H](C)CC)CC(=O)N(C),DBA
(R)-N-(2-butyl)glycine,CC(=O)N([C@H](C)CC)CC(=O)N(C),FFC
(S)-N-(1-phenylethyl)glycine,CC(=O)N([C@@H](C)c1ccccc1)CC(=O)N(C),EEC
(R)-N-(1-phenylethyl)glycine,CC(=O)N([C@H](C)c1ccccc1)CC(=O)N(C),CFB
N-(phenylmethyl)glycine,CC(=O)N(Cc1ccccc1)CC(=O)N(C),CDB
N-(methoxyethyl)glycine,CC(=O)N(CCOC)CC(=O)N(C),FBE
N-(benzoxyethyl)glycine,CC(=O)N(CCOc1ccccc1)CC(=O)N(C),CBE
N-(phenyl)glycine,CC(=O)N(c1ccccc1)CC(=O)N(C),AFE
N-(4-hydroxy-3-nitrophenyl)glycine,CC(=O)N(c1cc(N(=O)=O)c(O)cc1)CC(=O)N(C),EFF
N-(2-hydroxyphenyl)glycine,CC(=O)N(c1c(O)cccc1)CC(=O)N(C),BCE
N-(2-acetamidophenyl)glycine,CC(=O)Nc1ccccc1N(C(=O)C)CC(=O)N(C),AFA
N-hydroxyglycine,CC(=O)N(O)CC(=O)N(C),DFA
(S)-N-(1-phenylethyl)beta-alanine,CC(=O)N([C@@H](C)c1ccccc1)CCC(=O)N(C),CED
N-(benzoxyethyl)beta-alanine,CC(=O)N(CCOc1ccccc1)CCC(=O)N(C),DFB
N-(2-methylphenyl)glycine,CC(=O)N(c1c(C)cccc1)CC(=O)N(C),AEB
N-(2-iodophenyl)glycine,CC(=O)N(c1c(I)cccc1)CC(=O)N(C),FDE
N-(2-tert-butylphenyl)glycine,CC(=O)N(c1c(C(C)(C)C)cccc1)CC(=O)N(C),CAA
(S)-N-(1-naphthylethyl)glycine,CC(=O)N([C@@H](C)c1cccc2ccccc21)CC(=O)N(C),DCD
N-(1-naphthyl)glycine,CC(=O)N(c1cccc2ccccc21)CC(=O)N(C),FAE
N-(azidopropyl)glycine,CC(=O)N(CCC[N-][N+]#N)CC(=O)N(C),BCD
N-(propargyl)glycine,CC(=O)N(CC#C)CC(=O)N(C),DAD
Proline,CC(=O)N1CCC[C@@H]1C(=O)N(C),EDA
Alanine,CC(=O)N[C@@H](C)C(=O)N(C),CEE
"N-(2,6-dimethylphenyl)glycine",CC(=O)N(c1c(C)cccc1(C))CC(=O)N(C),CDE
"N-(3,5-dimethylphenyl)glycine",CC(=O)N(c1cc(C)cc(C)c1)CC(=O)N(C),DDC
N-(4-fluorophenyl)glycine,CC(=O)N(c1ccc(F)cc1)CC(=O)N(C),AAE
N-(tert-butyl)glycine,CC(=O)N(C(C)(C)C)CC(=O)N(C),DAC
N-(propargyl)beta-alanine,CC(=O)N(CC#C)CCC(=O)N(C),CEE
(S)-N-(1-naphthylethyl)beta-alanine,CC(=O)N([C@@H](C)c1cccc2ccccc21)CCC(=O)N(C),CAD
(R)-N-(1-naphthylethyl)glycine,CC(=O)N([C@H](C)c1cccc2ccccc21)CC(=O)N(C),BCF
N-allylglycine,CC(=O)N(CC=C)CC(=O)N(C),FCE
(S)-N-(1-tert-butylethyl)glycine,CC(=O)N([C@@H](C)C(C)(C)C)CC(=O)N(C),FFB
N-isopropylglycine,CC(=O)N(C(C)C)CC(=O)N(C),BCD
N-(phenyl)beta-alanine,CC(=O)N(c1ccccc1)CCC(=O)N(C),CEA
N-carboxymethylglycine,CC(=O)N(CC(=O)O)CC(=O)N(C),BCB
N-(2-aminoethyl)glycine,CC(=O)N(CCN)CC(=O)N(C),FBD
N-(2-hydroxyethyl)glycine,CC(=O)N(CCO)CC(=O)N(C),AAF
N-(2-carboxyethyl)glycine,CC(=O)N(CCC(=O)O)CC(=O)N(C),AAD
N-(2-(N-trimethylammonium)ethyl)glycine,CC(=O)N(CC[N+](C)(C)C)CC(=O)N(C),BAE
N-(2-(methoxycarbonyl)phenyl)glycine,CC(=O)N(c1c(C(=O)OC)cccc1)CC(=O)N(C),FFB
N-(sec-butyl)glycine,CC(=O)N(C(C(C)C))CC(=O)N(C),FFA
"N-{2-[([2,2â€™-bipyridin]-6-yl)oxy]ethyl}glycine",CC(=O)N(CCO(c1nc(ccc1)c2ncccc2))CC(=O)N(C),DEA
N-(2-phenylethyl)glycine,CC(=O)N(CCc1ccccc1)CC(=O)N(C),FCE
Sarcosine,CC(=O)N(C)CC(=O)N(C),CDC
N-propylglycine,CC(=O)N(CCC)CC(=O)N(C),BCD
N-[2-(4-methoxyphenyl)ethyl]glycine,CC(=O)N(CCc1ccc(OC)cc1)CC(=O)N(C),BEC
"N-(3,5-dimethoxyphenyl)glycine",CC(=O)N(c1cc(OC)cc(OC)c1)CC(=O)N(C),ECC
(S)-N-[1-(4-methoxyphenyl)ethyl]glycine,CC(=O)N([C@@H](C)c1ccc(OC)cc1)CC(=O)N(C),ADE
D-Alanine,CC(=O)N[C@H](C)C(=O)N(C),FBC
(S)-N-[1-(1-naphthyl)pentyl]beta-alanine,CC(=O)N([C@@H](CCCC)c1cccc2ccccc21)CCC(=O)N(C),ECE
"N-[2-(N-benzyl-N,N-diethyl)ammonium]ethylglycine",CC(=O)N(CC[N+](Cc1ccccc1)(CC)CC)CC(=O)N(C),ADC
"N-[2-(N-propargyl-N,N-diethyl)ammonium]ethylglycine",CC(=O)N(CC[N+](CC)(CC)CC#C)CC(=O)N(C),ADF
"N-[2-(N,N-disopropyl)ammonium]ethylglycine",CC(=O)N(CC[N+](C(C)C)C(C)C)CC(=O)N(C),ECE
N-[2-(N-triethyl)ammonium]ethylglycine,CC(=O)N(CC[N+](CC)(CC)CC)CC(=O)N(C),DDF
N-(4-isopropyl)phenylglycine,CC(=O)N(c1ccc(C(C)C)cc1)CC(=O)N(C),BBC
N-(4-methyl)phenylglycine,CC(=O)N(c1ccc(C)cc1)CC(=O)N(C),EDE
N-(4-methoxy)phenylglycine,CC(=O)N(c1ccc(OC)cc1)CC(=O)N(C),DEC
N-(2-picolyl)glycine,CC(=O)N(Cc1ncccc1)CC(=O)N(C),AFF
N-(1-naphthylmethyl)glycine,CC(=O)N(Cc1c2ccccc2ccc1)CC(=O)N(C),FFE
N-(cyclohexyl)methylglycine,CC(=O)N(CC1CCCCC1)CC(=O)N(C),BDE
N-pentylglycine,CC(=O)N(CCCCC)CC(=O)N(C),AEA
N-hexylglycine,CC(=O)N(CCCCCC)CC(=O)N(C),AED
Glycine,CC(=O)NCC(=O)N(C),EAE
beta-Alanine,CC(=O)NCCC(=O)N(C),DEF
